recno,RAdeg,DEdeg,Vmag,Bmag,B-V
,56.793428,24.257595,14.638,15.875,1.237
,57.135854,24.604842,14.64,15.333,0.693
,57.018858,23.986303,14.653,15.348,0.695
,57.336724,24.15286,14.653,15.464,0.811
,56.764837,24.159226,14.658,16.022,1.364
,56.895755,24.106005,14.669,14.467,-0.202
,56.93077,24.318055,14.678,15.332,0.654
,57.347562,24.215784,14.688,15.455,0.767
,57.06499,24.284527,14.704,15.667,0.963
,56.925333,23.933498,14.71,15.512,0.802
,56.960585,24.168417,14.757,15.85,1.093
,57.325247,24.142495,14.761,15.564,0.803
,57.477045,24.404532,14.767,15.759,0.992
,56.895051,24.261741,14.77,15.621,0.851
,57.315549,24.577753,14.774,15.482,0.708
,56.994699,23.978847,14.811,15.559,0.748
,57.544649,24.278731,14.811,15.811,1.0
,56.634604,24.281839,14.829,15.648,0.819
,57.398892,24.515549,14.836,15.564,0.728
,57.434586,24.239864,14.836,15.606,0.77
,57.213502,24.183414,14.845,15.719,0.874
,57.09107,24.506724,14.858,15.463,0.605
,56.865657,24.347888,14.865,15.837,0.972
,56.903662,24.383598,14.871,15.62,0.749
,57.010894,24.17697,14.88,15.659,0.779
,57.313403,24.40207,14.889,14.918,0.029
,57.34218,24.525811,14.928,15.534,0.606
,56.937118,23.948688,14.958,16.112,1.154
,56.678425,24.279378,14.978,15.816,0.838
,56.863159,24.227617,14.993,16.186,1.193
,57.170605,24.33137,14.998,16.088,1.09
,56.997951,24.505611,15.006,16.428,1.422
,57.464795,24.246563,15.011,15.872,0.861
,57.395381,24.487505,15.023,15.702,0.679
,56.971021,24.306814,15.024,15.791,0.767
,57.356865,24.551271,15.025,15.632,0.607
,57.175993,24.46693,15.03,15.975,0.945
,57.089907,24.066964,15.039,15.781,0.742
,57.042439,24.328305,15.061,15.837,0.776
,56.932584,24.14767,15.07,16.041,0.971
,57.315382,24.343244,15.086,15.886,0.8
,57.268231,24.317815,15.096,16.095,0.999
,56.924562,24.041235,15.121,15.77,0.649
,56.996462,23.994089,15.122,15.729,0.607
,57.180899,24.091935,15.133,16.081,0.948
,57.208775,24.665723,15.144,15.895,0.751
,57.40535,24.47927,15.151,15.726,0.575
,57.293951,24.578415,15.171,16.196,1.025
,56.894616,24.179841,15.174,16.168,0.994
,56.876637,24.216603,15.183,15.958,0.775
,56.881441,24.399141,15.185,16.327,1.142
,56.935349,24.484442,15.192,15.904,0.712
,57.410369,24.403163,15.203,15.998,0.795
,57.388506,24.476558,15.206,16.083,0.877
,57.195735,24.206126,15.213,15.866,0.653
,57.450675,24.297359,15.223,15.945,0.722
